,Dia,Impresiones,Clics,Conversiones,Coste,dia_semana,mes,Conversiones_lag1,Conversiones_lag2,Conversiones_lag3,Conversiones_lag4,Conversiones_lag5,Conversiones_lag6,Conversiones_lag7,Conversiones_lag8,Conversiones_lag9,Conversiones_lag10,Coste_lag1,Coste_lag2,Coste_lag3,Coste_lag4,Coste_lag5,Coste_lag6,Coste_lag7,Coste_lag8,Coste_lag9,Coste_lag10
2015-01-11,2015-01-11,40490.0,709.0,6.0,92.36,6,0,4.0,4.0,3.0,5.0,4.0,1.0,3.0,5.0,8.0,1.0,76.28,77.5,74.69,81.32,88.8,40.79,53.13,80.37,104.24,65.62
2015-01-12,2015-01-12,37826.0,690.0,6.0,89.62,0,0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,3.0,5.0,8.0,92.36,76.28,77.5,74.69,81.32,88.8,40.79,53.13,80.37,104.24
2015-01-13,2015-01-13,39804.0,787.0,10.0,101.76,1,0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,3.0,5.0,89.62,92.36,76.28,77.5,74.69,81.32,88.8,40.79,53.13,80.37
2015-01-14,2015-01-14,41566.0,831.0,5.0,111.02,2,0,10.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,3.0,101.76,89.62,92.36,76.28,77.5,74.69,81.32,88.8,40.79,53.13
2015-01-15,2015-01-15,40663.0,771.0,7.0,102.51,3,0,5.0,10.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,111.02,101.76,89.62,92.36,76.28,77.5,74.69,81.32,88.8,40.79
2015-01-16,2015-01-16,37675.0,684.0,4.0,95.16,4,0,7.0,5.0,10.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,102.51,111.02,101.76,89.62,92.36,76.28,77.5,74.69,81.32,88.8
2015-01-17,2015-01-17,39382.0,645.0,4.0,85.28,5,0,4.0,7.0,5.0,10.0,6.0,6.0,4.0,4.0,3.0,5.0,95.16,102.51,111.02,101.76,89.62,92.36,76.28,77.5,74.69,81.32
2015-01-18,2015-01-18,51597.0,872.0,1.0,111.63,6,0,4.0,4.0,7.0,5.0,10.0,6.0,6.0,4.0,4.0,3.0,85.28,95.16,102.51,111.02,101.76,89.62,92.36,76.28,77.5,74.69
2015-01-19,2015-01-19,48816.0,881.0,5.0,117.2,0,0,1.0,4.0,4.0,7.0,5.0,10.0,6.0,6.0,4.0,4.0,111.63,85.28,95.16,102.51,111.02,101.76,89.62,92.36,76.28,77.5
2015-01-20,2015-01-20,53575.0,1026.0,9.0,134.99,1,0,5.0,1.0,4.0,4.0,7.0,5.0,10.0,6.0,6.0,4.0,117.2,111.63,85.28,95.16,102.51,111.02,101.76,89.62,92.36,76.28
2015-01-21,2015-01-21,54565.0,1133.0,18.0,147.18,2,0,9.0,5.0,1.0,4.0,4.0,7.0,5.0,10.0,6.0,6.0,134.99,117.2,111.63,85.28,95.16,102.51,111.02,101.76,89.62,92.36
2015-01-22,2015-01-22,53460.0,1217.0,4.0,165.39,3,0,18.0,9.0,5.0,1.0,4.0,4.0,7.0,5.0,10.0,6.0,147.18,134.99,117.2,111.63,85.28,95.16,102.51,111.02,101.76,89.62
2015-01-23,2015-01-23,50568.0,1131.0,10.0,156.53,4,0,4.0,18.0,9.0,5.0,1.0,4.0,4.0,7.0,5.0,10.0,165.39,147.18,134.99,117.2,111.63,85.28,95.16,102.51,111.02,101.76
2015-01-24,2015-01-24,52894.0,1035.0,6.0,139.5,5,0,10.0,4.0,18.0,9.0,5.0,1.0,4.0,4.0,7.0,5.0,156.53,165.39,147.18,134.99,117.2,111.63,85.28,95.16,102.51,111.02
2015-01-25,2015-01-25,59189.0,1176.0,7.0,160.42,6,0,6.0,10.0,4.0,18.0,9.0,5.0,1.0,4.0,4.0,7.0,139.5,156.53,165.39,147.18,134.99,117.2,111.63,85.28,95.16,102.51
2015-01-26,2015-01-26,53057.0,1284.0,21.0,148.37,0,0,7.0,6.0,10.0,4.0,18.0,9.0,5.0,1.0,4.0,4.0,160.42,139.5,156.53,165.39,147.18,134.99,117.2,111.63,85.28,95.16
2015-01-27,2015-01-27,41231.0,864.0,11.0,71.0,1,0,21.0,7.0,6.0,10.0,4.0,18.0,9.0,5.0,1.0,4.0,148.37,160.42,139.5,156.53,165.39,147.18,134.99,117.2,111.63,85.28
2015-01-28,2015-01-28,43167.0,915.0,12.0,75.16,2,0,11.0,21.0,7.0,6.0,10.0,4.0,18.0,9.0,5.0,1.0,71.0,148.37,160.42,139.5,156.53,165.39,147.18,134.99,117.2,111.63
2015-01-29,2015-01-29,53998.0,1259.0,8.0,159.88,3,0,12.0,11.0,21.0,7.0,6.0,10.0,4.0,18.0,9.0,5.0,75.16,71.0,148.37,160.42,139.5,156.53,165.39,147.18,134.99,117.2
2015-01-30,2015-01-30,52870.0,1203.0,20.0,174.31,4,0,8.0,12.0,11.0,21.0,7.0,6.0,10.0,4.0,18.0,9.0,159.88,75.16,71.0,148.37,160.42,139.5,156.53,165.39,147.18,134.99
2015-01-31,2015-01-31,57314.0,1127.0,11.0,152.84,5,0,20.0,8.0,12.0,11.0,21.0,7.0,6.0,10.0,4.0,18.0,174.31,159.88,75.16,71.0,148.37,160.42,139.5,156.53,165.39,147.18
2015-02-01,2015-02-01,66034.0,1287.0,22.0,163.23,6,1,11.0,20.0,8.0,12.0,11.0,21.0,7.0,6.0,10.0,4.0,152.84,174.31,159.88,75.16,71.0,148.37,160.42,139.5,156.53,165.39
2015-02-02,2015-02-02,61510.0,1475.0,26.0,186.28,0,1,22.0,11.0,20.0,8.0,12.0,11.0,21.0,7.0,6.0,10.0,163.23,152.84,174.31,159.88,75.16,71.0,148.37,160.42,139.5,156.53
2015-02-03,2015-02-03,58116.0,1484.0,26.0,185.76,1,1,26.0,22.0,11.0,20.0,8.0,12.0,11.0,21.0,7.0,6.0,186.28,163.23,152.84,174.31,159.88,75.16,71.0,148.37,160.42,139.5
2015-02-04,2015-02-04,47581.0,1180.0,27.0,128.27,2,1,26.0,26.0,22.0,11.0,20.0,8.0,12.0,11.0,21.0,7.0,185.76,186.28,163.23,152.84,174.31,159.88,75.16,71.0,148.37,160.42
2015-02-05,2015-02-05,35041.0,808.0,9.0,76.47,3,1,27.0,26.0,26.0,22.0,11.0,20.0,8.0,12.0,11.0,21.0,128.27,185.76,186.28,163.23,152.84,174.31,159.88,75.16,71.0,148.37
2015-02-06,2015-02-06,51949.0,1246.0,31.0,125.63,4,1,9.0,27.0,26.0,26.0,22.0,11.0,20.0,8.0,12.0,11.0,76.47,128.27,185.76,186.28,163.23,152.84,174.31,159.88,75.16,71.0
2015-02-07,2015-02-07,55004.0,1263.0,23.0,143.83,5,1,31.0,9.0,27.0,26.0,26.0,22.0,11.0,20.0,8.0,12.0,125.63,76.47,128.27,185.76,186.28,163.23,152.84,174.31,159.88,75.16
2015-02-08,2015-02-08,60092.0,1501.0,27.0,173.24,6,1,23.0,31.0,9.0,27.0,26.0,26.0,22.0,11.0,20.0,8.0,143.83,125.63,76.47,128.27,185.76,186.28,163.23,152.84,174.31,159.88
2015-02-09,2015-02-09,50117.0,1326.0,18.0,175.51,0,1,27.0,23.0,31.0,9.0,27.0,26.0,26.0,22.0,11.0,20.0,173.24,143.83,125.63,76.47,128.27,185.76,186.28,163.23,152.84,174.31
2015-02-10,2015-02-10,55386.0,1528.0,17.0,221.99,1,1,18.0,27.0,23.0,31.0,9.0,27.0,26.0,26.0,22.0,11.0,175.51,173.24,143.83,125.63,76.47,128.27,185.76,186.28,163.23,152.84
